date_year,disponibilidad_natural_base_media_per_capita_m3_habitante,labels_line
1950-06-30,17742,17742.0
1960-06-30,10991,
1970-06-30,7940,
1980-06-30,6168,
1990-06-30,5298,
1995-06-30,5011,
1998-06-30,4986,
1999-06-30,4964,
2001-06-30,4841,
2002-06-30,4685,
2003-06-30,4547,
2004-06-30,4505,
2005-06-30,4573,
2006-06-30,4416,
2007-06-30,4312,
2008-06-30,4288,
2009-06-30,4263,
2010-06-30,4090,
2011-06-30,4076,
2012-06-30,4028,
2013-06-30,3982,
2014-06-30,3736,
2015-06-30,3692,
2016-06-30,3687,
2017-06-30,3656,
2018-06-30,3620,
2019-06-30,3586,
2020-06-30,3663,3663.0
